genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766,D300767
D300711:bin_000023,11.93,2.822,0,0,0,0,0,1.021,0,0,0,0,0,0,0,0,0,0,20.746,5.332,3.07,12.896,0,0,0,0,1.396,0,0,0,0,0,0,0,0,0,1.25,7.047,4.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.938,4.073,0,2.676,11.814,1.294,0.638,0.658,4.997,5.839,1.01,0.72,1.407,1.02,1.551,2.772,1.92,0.805,1.479,2.666,0
D300712:bin_000004,9.309,2.504,0,0,0,0,0,0.966,0,1.592,2.19,0,3.56,4.622,0,3.984,5.978,0,5.044,18.773,3.627,7.168,0,0,0.572,3.425,2.885,0.679,2.457,0,4.467,2.222,0.653,2.289,3.786,0,4.256,3.659,4.254,0,3.594,0,0,0,0,0,0,0,0,0,0,2.13,0,0,3.714,0,0,2.301,3.007,2.585,1.903,1.596,5.078,0,1.677,4.458,3.46,0,0,0,0,0,4.137,0,0
D300712:bin_000006,12.424,42.064,35.976,18.536,0,0,0,0,0,0,0,0,0,0,0,1.179,0,0,20.143,109.377,2.836,7.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.131,4.37,21.858,0,16.551,0,0,0,0,0,0,0,0,0,0,0,0,0,15.341,38.271,2.492,0.768,0,0,0,0,0,0,0,1.435,0,0,0,0,0,0,0,0,0
D300712:bin_000007,8.98,5.216,9.465,9.465,0,0,0,2.378,0,0,1.302,0,10.786,6.316,1.106,12.665,10.836,6.713,15.016,25.354,4.35,10.519,0,0,0.673,1.269,2.118,3.482,13.655,0,16.688,0,0.6,1.581,3.072,0,8.435,6.948,7.453,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,1.92,4.919,9.93,2.925,3.353,0,3.933,5.701,1.176,7.096,5.629,3.972,2.402,3.104,1.945,6.353,2.724,5.346,0
D300712:bin_000016,0,1.382,4.037,6.698,0,0,0,0,0,0,0,0,0,0,1.596,0,25.191,3.039,0,26.17,0,0,0,0,0,1.622,0,0,0,0,0,0,0,0,0,0,0,0,3.828,0,7.165,0,0,0,0,0,0,0,0,0,0,0,0,0,2.032,1.208,0,0.853,3.761,0,0,0,1.252,0,0,0,0,1.028,0,0,0,0,0,0,0
D300713:bin_000003,44.401,51.609,6.068,5.536,0,0,0,2.836,0,0,0,0,0,0,0,12.786,0,0,10.321,2.757,19.012,38.245,0,0,0,0.574,4.293,0,0,0,3.466,0,0,0,0,0,6.307,8.455,4.619,0,19.644,0,0,0,0,0,0,0,0,0,0,0,0,0,5.668,7.066,0.952,9.361,32.528,5.19,3.115,1.337,0,12.533,7.696,2.191,2.917,3.502,21.596,11.897,12.768,1.625,0,0,0
D300713:bin_000009,21.84,1.93,31.432,6.645,2.4,0,0,3.84,0,0,0,0,0.922,1.95,1.348,17.685,5.54,18.077,12.1,16.306,23.783,14.435,1.791,0,0,8.907,2.5,0,0,0.656,0.562,4.815,0.548,10.48,3.102,0,2.4,8.956,13.963,0,2.069,0,0,0,0,0,0,0,0,0,0,1.221,0,0,1.677,0,1.064,3.414,2.411,0.74,1.666,1.231,1.932,1.182,3.864,1.686,4.515,0,1.885,2.591,1.61,3.551,0.772,6.114,0
D300714:bin_000008,6.001,22.213,77.472,17.747,0,0,0,1.57,0,0,0,0,2.019,0.571,0,9.86,2.344,4.709,9.247,28.956,22.077,42.886,0,0,0.794,3.15,1.194,6.05,0,0,1.573,1.914,0.898,4.525,1.865,0,6.217,6.601,0.908,0,1.17,0,0,0,0,0,0,0,0.587,0,0,0,0,0,1.689,9.045,0,3.625,0,0.538,0,0,0.801,1.567,1.083,2.058,4.493,0,1.871,1.591,1.173,2.231,1.57,0,0
D300719:bin_000003,0.889,0.923,1.493,1.366,0,0,0,2.041,0,0,5.38,0,8.364,9.807,0.525,41.8,85.671,48.429,12.218,2.541,2.42,4.38,0,0,0,1.458,27.277,0.994,1.205,0,4.042,3.212,2.054,7.573,8.775,0,7.055,5.349,2.365,0,3.117,0,0,0,0,0,0,0,0,0,0,0,0,0,10.255,5.272,1.009,3.519,2.888,5.139,2.783,1.572,6.286,6.762,1.506,1.506,3.059,5.861,6.156,13.106,5.692,1.308,1.227,4.182,0
D300719:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.373,0,0,0,0,0,0,0,0,0,0,0.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.435,6.473,0,0,0,0,0,0,0.869,0,0,0,0.588,0,0,0,0,0,0
