genome,M305768,M305846,M305884,M305789,M305757,M305781,M305779,M305792,M305890,M305889,M305788,M305854,M305880,M305881,M305794,M305793,M305764,M305774,M305893,M305761,M305847,M305762,M305877,M305859,M305848,M305875,M305853,M305791,M305778,M305796,M305773,M305758,M305753,M305771,M305754,M305878,M305755,M305887,M305752,M305770,M305790,M305782,M305888,M305772,M305861,M305850,M305767,M305750,M305786,M305867,M305870,M305857,M305864,M305756,M305883,M305869,M305769,M305784,M305852,M305876,M305892,M305787,M305849,M305871,M305856,M305855,M305759,M305783,M305873,M305858,M305885,M305765,M305775,M305795,M305760,M305891,M305777,M305874,M305862,M305868,M305882,M305863,M305866,M305780
IKPB:bin_000067,0,1.644,0,2.878,0,4.205,0,0,0,0,5.882,0,0,2.391,0,0,0,4.799,3.08,4.914,0,0,0,0,0,0,2.877,0,0,0,2.231,5.785,0,0,0,1.685,2.286,0,3.785,2.351,3.012,4.16,0,0,0,1.881,0,0,6.463,0,1.464,0,0,2.89,0,1.694,2.316,0,0,2.743,2.131,0,2.208,1.69,0,0,3.027,0,0,1.473,0,0,8.679,0,0,2.064,0,0,3.998,0,1.666,0,1.715,0
IKPB:bin_000068,0,0,0,0,0,12.422,0,0,0,0,0,0,0,0,0,0,2.263,0,0,0,0,0,0,0,0,0,0,0,3.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.759,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084,0,0,0,0,2.259
IKPB:bin_000069,0,0,0,3.63,0,0,0,0,0,0,5.502,0,0,0,0,0,3.106,0,6.466,9.569,0,8.242,0,2.022,0,0,5.503,3.792,0,0,0,13.729,3.004,2.925,0,0,3.519,0,7.933,0,5.557,3.847,1.616,0,0,5.495,0,0,7.905,0,5.222,0,2.427,4.616,0,6.48,0,0,0,0,2.608,0,0,0,2.718,0,2.288,0,0,5.312,0,0,10.543,0,0,2.069,3.994,0,5.37,0,2.475,0,1.686,0
IKPB:bin_000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.515,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.597,0,1.873,0,0,0,4.204,0,0,3.464,5.398,0,0,0,0,3.681,0,5.85,0,3.721,0,0,0,1.687,2.635,0,0,7.649,0,0,0,1.674,0,0,2.095,2.791,3.15,0,0,2.019,0,0,0,3.95,0,0,0,0,0,0,0,10.725,0,0,0,0,0,4.213,0,2.26,0,0,0
IKPB:bin_000073,0,1.452,0,3.279,0,2.887,0,0,0,0,3.514,0,0,1.411,1.71,2.134,0,5.745,3.917,3.564,0,3.349,0,0,0,0,6.021,2.134,3.407,0,0,4.819,0,0,1.991,0,4.108,0,2.956,1.992,5.283,0,0,2.379,0,0,0,0,4.472,0,0,0,0,2.317,0,2.746,3.072,0,0,0,1.852,0,2.255,1.441,2.481,0,2.263,0,0,2.095,0,0,8.829,0,0,1.575,0,0,4.859,0,1.998,0,0,0
IKPB:bin_000074,0,0,0,0,0,5.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833,0,0,0,0,0
IKPB:bin_000075,0,0,0,0,0,4.456,0,0,0,0,2.599,0,0,0,0,0,0,0,2.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,2.027,0,0,2.718,0,0,0,0,0,0,0,2.07,0,0,0,0,0,6.107,0,0,0,0,0
IKPB:bin_000076,0,0,0,0,0,5.118,0,0,0,0,0,0,0,0,0,0,0,0,2.153,0,0,1.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.476,0,0,2.201,0,0,0,0,0,0,0,2.049,0,0,0,0,0,4.41,0,0,0,0,0
