genome,M303961,M303950,M303938,M303952,M303925,M303933,M303966,M303930,M303935,M303959,M303955,M303964,M303958,M303924,M303946,M303944,M303934,M303931,M303922,M303948,M303960,M303923,M303947,M303957,M303945,M303928,M303937,M303943,M303927,M303969,M303965,M303939,M303942,M303968,M303936,M303954,M303949,M303953,M303967,M303940,M303926,M303963
D300264:bin_000028,23.434,12.289,0,1.609,1.865,0,0,0,0,9.935,0,0,2.872,0,0,0,0,0,2.222,9.011,0,0,0,0,0,0,7.284,0,2.715,0,25.15,0,0,10.94,0,0,0,23.723,0,0,18.247,0
D300264:bin_000033,2.165,3.048,0,0,0,0,0,3.148,0,5.186,0,0,3.685,0,0,0,0,0,6.083,2.03,0,3.203,0,2.603,0,1.791,7.28,0,4.373,0,2.697,0,2.274,2.218,0,0,2.83,3.08,5.228,0,2.137,0
D300264:bin_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300265:bin_000012,0,0,0,0,1.517,0,0,0,0,1.951,0,0,2.847,0,0,0,0,0,0,0,1.616,0,0,2.859,0,0,3.39,0,2.049,0,0,0,1.96,0,0,0,0,0,0,0,0,0
D300265:bin_000013,4.666,8.959,0,5.631,19.626,0,0,12.107,0,52.651,5.312,3.798,8.221,4.653,0,5.024,0,0,20.321,7.373,9.744,2.95,0,22.45,7.787,0,36.252,0,12.283,6.288,7.705,0,8.519,7.534,0,3.068,2.972,17.452,6.585,0,8.646,16.723
JPB:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.881,0,0,0,0,0,0,0,0,0,0,1.892,0,0,0,0
JPB:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.201,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000010,0,0,0,0,0,0,0,0,0,2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.386,0,0,0,0,0,0,0,0,0,0,2.074,0,0,0,0
JPB:bin_000012,0,0,0,0,1.408,0,0,0,0,1.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501,0,0,0,0,0,0,0,0,0,0,1.589,0,0,0,0
JPB:bin_000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000022,3.68,2.93,0,0,7.348,0,0,2.209,0,7.257,0,1.403,4.684,2.488,0,2.972,0,0,6.202,0,2.16,1.516,0,6.3,3.168,0,7.957,0,3.543,1.39,3.202,0,2.948,3.772,0,0,0,7.312,1.972,0,3.049,2.679
JPB:bin_000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000025,3.628,2.053,0,12.914,4.954,0,9.96,48.336,0,40.582,15.337,0,8.565,31.915,0,66.026,0,0,3.712,3.331,0,7.536,0,38.786,2.266,7.055,83.444,0,2.13,0,226.941,0,0,0,0,0,2.106,45.761,8.514,0,11.166,2.48
